Fecha,AAPL,ADBE,AMZN,META,MSFT,NFLX,NVDA,TSLA
3/17/2023,154.1770477,358.1400146,98.94999695,195.4026794,277.1552734,303.5,257.1675415,180.1300049
3/20/2023,156.5643158,362.8800049,97.70999908,197.6003418,270.013916,305.1300049,258.9169617,183.25
3/21/2023,158.4343262,374.2200012,100.6100006,201.9457397,271.5512695,305.7900085,261.9059753,197.5800018
3/22/2023,156.9920349,361.7099915,98.69999695,199.5982208,270.0734253,293.8999939,264.5951233,191.1499939
3/23/2023,158.0861816,369,98.70999908,204.0634918,275.3997192,320.3699951,271.8228149,192.2200012
3/24/2023,159.3991699,374.9599915,98.12999725,205.7916412,278.2860413,328.3900146,267.7041321,190.4100037
3/27/2023,157.4396362,373.1499939,98.04000092,202.6250153,274.1301575,327.6600037,265.2249451,191.8099976
3/28/2023,156.812973,373.3999939,97.23999786,200.4673004,272.989502,323.519989,264.0153198,189.1900024
3/29/2023,159.9164276,379.1600037,100.25,205.1323547,278.226532,332.0299988,269.753479,193.8800049
3/30/2023,161.4979706,381.8999939,102,207.6197052,281.7377014,338.4299927,273.7421875,195.2799988
3/31/2023,164.0244904,385.3699951,103.2900009,211.7153625,285.953064,345.480011,277.6809082,207.4600067
4/3/2023,165.2877502,380.0799866,102.4100037,212.8441772,284.8918457,348.2799988,279.5603027,194.7700043
4/4/2023,164.7506256,385.1499939,103.9499969,214.4924164,284.8422241,346.75,274.4419556,192.5800018
4/5/2023,162.8905487,382.019989,101.0999985,211.2558441,282.0252991,342.3500061,268.7238464,185.5200043
4/6/2023,163.7857666,380.6000061,102.0599976,215.8709564,289.2262573,339.3299866,270.2832642,185.0599976
4/10/2023,161.1697083,376.25,102.1699982,214.5223846,287.0342407,338.9899902,275.7015686,184.5099945
4/11/2023,159.9462585,371.1099854,99.91999817,213.6233521,280.5276184,338.2099915,271.6028748,186.7899933
4/12/2023,159.2499847,369.8900146,97.83000183,213.7731781,281.182251,331.0299988,264.8650818,180.5399933
4/13/2023,164.6809998,378.7999878,102.4000015,220.1164551,287.4805603,346.1900024,264.545166,185.8999939
4/14/2023,164.3328552,379.3800049,102.5100021,221.255249,283.8106995,338.6300049,267.4942017,185
4/17/2023,164.3527374,377.9200134,102.7399979,218.6280365,286.4490051,332.7200012,269.9334106,187.0399933
4/18/2023,165.5861511,377.5499878,102.3000031,217.6590576,286.022522,333.7000122,276.5812988,184.3099976
4/19/2023,166.7400055,380.1099854,104.3000031,215.4713745,286.1018982,323.1199951,279.2204285,180.5899963
4/20/2023,165.7651825,380.2600098,103.8099976,212.8441772,283.7809143,325.3500061,270.9530945,162.9900055
4/21/2023,164.1438599,377.6700134,106.9599991,212.6643524,283.4337769,327.980011,271.1030579,165.0800018
4/24/2023,164.4522247,377.3399963,106.2099991,212.5644531,279.4762268,329.019989,270.3332825,162.5500031
4/25/2023,162.9004974,369.5899963,102.5699997,207.3300171,273.177948,322.5499878,262.3258667,160.6699982
4/26/2023,162.8905487,363.0599976,104.9800034,209.1780548,292.9655151,321.1499939,269.4735718,153.75
4/27/2023,167.5158539,371.4200134,109.8199997,238.3071442,302.3485413,325.8500061,272.1727295,160.1900024
4/28/2023,168.7790833,377.5599976,105.4499969,240.0652924,304.7587585,329.9299927,277.4010315,164.3099976
5/1/2023,168.6895905,374.1499939,102.0500031,242.9222412,303.0726013,324.1199951,289.0073242,161.8300018
5/2/2023,167.6451569,368.6600037,103.6299973,238.9864349,302.9238281,317.5499878,282.009552,160.3099976
5/3/2023,166.5609436,345.25,103.6500015,236.7787781,301.9220276,319.2999878,277.9308472,160.6100006
5/4/2023,164.9097443,335.8299866,104,233.2724915,302.9238281,320.7799988,275.5316162,161.1999969
5/5/2023,172.6484833,348.3999939,105.6600037,232.5332794,308.1211548,322.7600098,286.7080383,170.0599976
5/8/2023,172.5788269,344.0599976,105.8300018,233.0227661,306.1374207,331.2099915,291.4165344,171.7899933
5/9/2023,170.8580322,342.6499939,106.6200027,233.1226501,304.500824,332.1400146,285.6183777,169.1499939
5/10/2023,172.6385193,344.019989,110.1900024,232.832962,309.7676086,335.4200134,288.7574158,168.5399933
5/11/2023,172.8274841,341.5799866,112.1800003,235.5400848,307.5855103,344.7600098,285.688385,172.0800018
5/12/2023,171.8912048,335.4500122,110.2600021,233.5621796,306.454834,339.8900146,283.3091125,167.9799957
5/15/2023,171.3931732,345.6700134,111.1999969,238.606842,306.9408264,335.8900146,289.4371643,166.3500061
5/16/2023,171.3931732,345.1099854,113.4000015,238.5668793,309.202301,333.75,292.0363464,166.5200043
5/17/2023,172.0107269,356.6300049,115.5,242.2329865,312.1247253,339.9599915,301.6832581,173.8600006
5/18/2023,174.3614502,360.4299927,118.1500015,246.5883789,316.6177063,371.2900085,316.6784058,176.8899994
5/19/2023,174.4710083,371.25,116.25,245.3796539,316.4388123,365.3599854,312.5397339,180.1399994
5/22/2023,173.5147858,372.0499878,115.0100021,248.0568085,319.2618408,363.0100098,311.6600647,188.8699951
5/23/2023,170.8851624,370.4200134,114.9899979,246.4784851,313.3772278,355.9899902,306.7816162,185.7700043
5/24/2023,171.1640625,365.7600098,116.75,248.9458771,311.9756165,364.8500061,305.2821045,182.8999939
5/25/2023,172.3095551,392.0599976,115,252.4221802,323.9735413,359,379.6781921,184.4700012
5/26/2023,174.7399292,415.3900146,120.1100006,261.7622681,330.901947,378.8800049,389.3351135,193.1699982
5/30/2023,176.6025848,417.2099915,121.6600037,262.2417603,329.2319641,392.980011,400.9813843,201.1600037
