Fecha,NDX
8/28/2018,7570.25
8/29/2018,7660.180176
8/30/2018,7642.669922
8/31/2018,7654.549805
9/4/2018,7622.319824
9/5/2018,7523.259766
9/6/2018,7453.169922
9/7/2018,7430.259766
9/10/2018,7447.680176
9/11/2018,7507.870117
9/12/2018,7488.060059
9/13/2018,7561.689941
9/14/2018,7545.5
9/17/2018,7434.72998
9/18/2018,7494.399902
9/19/2018,7490.319824
9/20/2018,7569.029785
9/21/2018,7531.069824
9/24/2018,7548.75
9/25/2018,7563.189941
9/26/2018,7563.089844
9/27/2018,7629.569824
9/28/2018,7627.649902
10/1/2018,7645.450195
10/2/2018,7628.279785
10/3/2018,7637.430176
10/4/2018,7490
10/5/2018,7399.009766
10/8/2018,7352.819824
10/9/2018,7371.620117
10/10/2018,7044.5
10/11/2018,6964.029785
10/12/2018,7157.209961
10/15/2018,7068.669922
10/16/2018,7276.430176
10/17/2018,7278.629883
10/18/2018,7116.089844
10/19/2018,7107.22998
10/22/2018,7141.209961
10/23/2018,7118.669922
10/24/2018,6789.149902
10/25/2018,7016.390137
10/26/2018,6852.399902
10/29/2018,6713.899902
10/30/2018,6810.120117
10/31/2018,6967.100098
11/1/2018,7069.169922
11/2/2018,6965.290039
11/5/2018,6937.089844
11/6/2018,6988.850098
11/7/2018,7203.129883
11/8/2018,7158.589844
11/9/2018,7039.149902
11/12/2018,6829.100098
11/13/2018,6830.910156
11/14/2018,6769.870117
11/15/2018,6890.450195
11/16/2018,6867.02002
11/19/2018,6642.919922
11/20/2018,6526.959961
11/21/2018,6575.660156
11/23/2018,6527.350098
11/26/2018,6678.339844
11/27/2018,6701.040039
11/28/2018,6913.330078
11/29/2018,6892.399902
11/30/2018,6949.009766
12/3/2018,7062.129883
12/4/2018,6795.209961
12/6/2018,6838.850098
12/7/2018,6613.279785
12/10/2018,6682.740234
12/11/2018,6704.240234
12/12/2018,6763.959961
12/13/2018,6767.970215
12/14/2018,6594.959961
12/17/2018,6448.390137
12/18/2018,6491.52002
12/19/2018,6342.970215
12/20/2018,6243.189941
12/21/2018,6046.560059
12/24/2018,5899.350098
12/26/2018,6262.77002
12/27/2018,6288.299805
12/28/2018,6285.27002
