Fecha,AAPL,ADBE,ADI,ADP,ADSK,AEP,AMAT,AMD,AMGN,AMZN,ANSS,ASML,AVGO,AZN,BIIB,BKNG,BKR,CCEP,CDNS,CDW,CHTR,CMCSA,COST,CPRT,CSCO,CSGP,CSX,CTAS,CTSH,DLTR,DXCM,EA,EXC,FANG,FAST,FTNT,GILD,HON,IDXX,ILMN,INTC,INTU,ISRG,KDP,KHC,KLAC,LIN,LRCX,LULU,MAR,MCHP,MDB,MDLZ,MELI,META,MNST,MRVL,MSFT,MU,NFLX,NVDA,NXPI,ODFL,ON,ORLY,PANW,PAYX,PCAR,PEP,PYPL,QCOM,REGN,ROP,ROST,SBUX,SIRI,SNPS,TMUS,TSLA,TTWO,TXN,VRSK,VRTX,WBA,WBD,WDAY,XEL
10/19/2017,36.69531631,171.7299957,78.36707306,99.97626495,119.2900009,58.71230316,51.25567627,13.94999981,151.2852173,49.33050156,129.8899994,164.8287506,195.5682373,28.77923775,342.4200134,1922.939087,27.37825012,34.93688583,41.81000137,63.47143555,351.6700134,31.75127792,142.685318,9.102499962,27.70194435,28.04800034,16.55196381,140.1475067,68.02934265,91.41000366,11.24499989,110.8915405,22.74499321,82.98258209,20.08613777,8.043999672,63.53449249,120.4611969,161.5800018,205.1799927,33.8061142,140.0386047,119.1533356,12.4902916,56.85158539,96.42544556,125.9894638,181.9421539,60.09000015,109.3976135,41.9110527,32.06999969,35.21923828,235.8890228,174.3749847,27.99500084,17.55853081,72.227211,40.57171631,195.1300049,48.89310837,105.8777008,35.12018585,19.67000008,209.3000031,49.77666855,52.4344902,37.67006302,93.29954529,67.25,43.68163681,440.9400024,242.8082123,59.50534058,48.4588356,5.117755413,83.37999725,60.99962616,23.45400047,104.5599976,78.16957855,82.05739594,154.6000061,51.4434433,20.09000015,106.7699966,40.59617615
10/20/2017,36.75883865,175.6399994,78.48177338,101.1188812,120.8099976,58.83159637,51.95971298,13.81000042,150.3320923,49.14550018,130.9400024,164.0796204,195.5281982,28.70461845,338.1000061,1937.15271,27.46908951,34.92855453,42.27999878,64.61296844,350.7600098,32.02662659,144.7653961,9.119999886,28.11234474,28.25600052,16.69280434,141.3080597,68.51480103,92.37000275,11.19499969,111.4309387,22.63633537,83.75041962,20.14024734,8.06400013,63.23857117,121.9122162,164.7100067,209.8800049,34.09282303,141.3280182,123.1933365,12.45112896,57.03001785,96.68422699,128.4390411,185.8890839,63.29000092,109.2266846,41.76692963,30.68000031,35.46999741,235.6191559,174.7945404,28.22999954,17.55853081,73.06153107,40.75831604,194.1600037,48.67063904,106.2352524,35.71382523,20.06999969,205.8999939,49.86999893,52.87205505,38.25730515,92.42176819,70.97000122,43.45608139,432.980011,245.5642853,60.29386902,47.73282242,5.135586739,84.31999969,59.95833969,23.00666618,104.9300003,79.61670685,81.99939728,154.6300049,52.10178757,20.29000092,108.5599976,40.60441971
10/23/2017,36.74001312,172.1600037,78.34056854,102.0609283,118.9899979,58.78387451,52.21910095,14.10000038,148.3354187,48.31499863,131.2200012,166.7484589,195.5522461,28.51391602,328.5499878,1929.612061,25.99074936,34.77860641,42.15000153,64.55729675,345.0700073,31.45011139,145.9089203,9.037500381,28.19441605,28.37000084,16.5703392,140.6488495,68.1484375,91.72000122,11.19250011,111.4701691,22.72783852,81.96970367,20.36083603,8.034000397,62.42871094,122.3903275,164.4299927,211.5500031,34.43011856,140.7072144,124.5066681,12.63294315,57.29020691,96.20233917,127.8109665,186.3870087,63.83000183,109.5020752,41.71287155,30.5,35.48729706,226.243576,171.0884705,28.18000031,17.61575317,73.08008575,40.81724167,192.4700012,48.60141754,106.7119522,35.49160767,20.07999992,205.6499939,49.40999985,53.11974335,38.11941528,92.48803711,69.80000305,44.60053635,432.7600098,244.5234833,60.36895752,47.47042465,5.082092285,84.27999878,60.95996475,22.46800041,105.0100021,80.47827911,81.92207336,151.0599976,51.68075943,19.62000084,107.75,40.61265564
10/24/2017,36.95881271,171.5800018,79.68202209,101.5811844,119.2900009,58.8236351,52.22835922,14.25,148.2039795,48.79499817,132.1100006,167.085556,198.2821198,28.36466789,315.730011,1927.35791,25.34655952,34.72862625,42.31000137,64.9285202,340.2600098,31.40708923,146.1340637,9.039999962,28.38320541,28.0739994,16.63463974,140.0546722,68.41404724,91.77999878,11.13749981,111.2053986,22.85366058,81.41424561,19.62349129,8,62.37419128,122.5580444,162.6999969,210.8200073,34.53131104,141.9488831,123.8300018,12.54623318,57.40917206,96.10417938,128.2685089,186.3417969,61.86999893,110.9265289,42.02816772,30.56999969,35.53052902,225.3139954,171.6179199,28.41500092,17.72067261,73.1078949,40.85652924,196.0200043,49.11062622,107.069519,35.65351486,20.37000084,203.3300018,49.74666595,52.73997116,35.93898392,91.70964813,70.20999908,45.3189621,426.5100098,245.5739136,60.3971138,47.47916031,5.09992218,84.76999664,61.763237,22.4893322,105.2200012,80.67067719,82.02836609,151.1100006,51.51233292,19.45999908,107.1800003,40.76926422
10/25/2017,36.79647827,171.8300018,79.30255127,101.4765244,119.9400024,58.51348495,51.22788239,12.32999992,145.8457642,48.64550018,132.8500061,166.0835419,196.7930756,28.29005241,314.6400146,1923.886719,24.83450699,34.2954483,42.22000122,64.18606567,344.9100037,31.69104004,146.0350037,8.9375,28.15338135,27.8409996,16.20292473,139.414032,68.0110321,91.61000061,11.17249966,112.3528442,22.91656685,82.41078949,19.53970146,7.940000057,62.21069336,122.4490128,162.0399933,204.8500061,34.38796997,142.7511597,124.1399994,11.96024513,57.49094391,95.22960663,128.8697662,183.8341827,62.06999969,110.470726,41.5822525,31,35.52188492,221.405838,170.4191895,28.25,17.53945541,72.89467621,40.32618332,193.7700043,47.86975861,106.7944717,35.24716187,20.21999931,202.7200012,49.51666641,52.90508652,35.86238861,91.14652252,71.01999664,44.97646713,421.9299927,245.8919067,59.92776108,47.37420273,4.957268238,85.69000244,61.41614532,21.72266769,104.8700027,80.15206146,81.37123108,146.8000031,53.09698105,19.26000023,105.8000031,40.70333099
10/26/2017,37.03173447,173.75,79.92030334,102.3138885,121.3499985,58.65662766,51.81149673,12.01000023,145.0405579,48.62149811,133.8399963,166.5143433,195.1439514,27.80086327,307.6400146,1934.339966,24.7271347,34.38708496,42.72000122,64.31600189,316.2900085,31.20918465,146.2871857,8.977499962,28.12875748,28.92499924,16.02839661,140.7045746,68.31328583,93.23000336,11.11499977,113.598381,22.80790901,82.40261841,19.89580536,8.020000458,60.64549637,122.323204,164.25,208.3099976,34.86862946,144.5372162,124.1200027,12.09170818,57.46864319,97.13936615,134.235611,187.1927185,62.00999832,112.825798,41.94258881,31.10000038,35.37488556,228.8923187,170.4491577,28.375,17.54899597,73.01519012,39.87440872,195.2100067,48.37155151,106.9136429,37.21538544,20.39999962,214,49.59999847,53.32614136,36.80706406,91.6930542,71.33999634,44.94304657,416.0400085,248.1661987,60.33140182,48.03024292,4.975099564,86.80999756,61.21780014,21.74466705,105.4300003,80.42809296,81.98006439,143.7599945,51.37453461,19.34000015,107.1200027,40.43131638
10/27/2017,38.35858154,177.3300018,80.493927,103.1425171,123.5800018,58.86337662,52.51553345,11.84000015,144.0217285,55.04750061,135.7799988,167.5537567,202.4610596,27.7677002,307.7399902,1886.093506,25.85035324,34.0288887,43.08000183,64.59442139,319.7600098,31.65662384,146.2151489,8.970000267,28.26008797,29.93799973,16.08657265,140.7138519,69.05522919,93.20999908,11.14000034,114.6379471,23.01951027,85.41676331,19.77012062,7.748000145,60.01472473,122.6251678,168.3699951,210.0399933,37.44055176,146.5715942,124.5933304,11.99241161,57.46864319,96.44327545,132.9255371,188.2971649,62.40000153,112.8827667,42.66324997,30.88999939,35.17599106,235.9390106,177.6914673,28.375,17.58714294,77.69683075,40.11993408,199.5399933,49.89666748,107.1978302,39.31377411,20.75,217.0399933,48.88666534,53.99489212,36.69983673,91.5854187,71.05999756,45.58628464,409.2200012,248.2144165,59.90898514,48.0039978,4.939436436,87.19000244,62.42768097,21.39133263,107.8399963,81.55735016,82.08638,150.1100006,49.36120987,19.07999992,108.5100021,40.56320572
10/30/2017,39.22198105,176.0299988,80.59099579,102.0347595,123.9100037,58.98267746,51.78371429,10.89000034,143.4547424,55.54249954,135.8000031,166.6173401,209.129715,27.99985504,315.7999878,1874.932007,26.01552391,33.61237717,42.90000153,64.32525635,323.980011,31.40708923,144.279129,9.010000229,27.93997574,29.45000076,15.798769,138.541275,69.16516113,91.44000244,11.31000042,115.3146591,23.01379585,86.74819183,19.60254288,7.900000095,59.17372894,121.3167114,164.4100037,203.8099976,37.41524887,144.6518097,125.3633347,11.89451408,55.95944214,95.80076599,132.306427,186.6676941,61.72000122,112.550415,42.88395691,29.85000038,33.98271179,234.38974,179.6793518,28.41500092,17.38685226,77.77103424,40.90564346,198.3699951,50.38610077,107.0145035,38.28840256,20.95999908,213.7899933,49.18999863,53.22706985,35.97472763,90.7987442,71.15000153,45.66145706,406.519989,247.7132721,59.53349686,48.2576561,4.912688732,86.26000214,59.08564377,21.33866692,109.7099991,80.86703491,81.85443115,149.5299988,50.72383499,18.97999954,108.4199982,40.62914276
10/31/2017,39.76776123,175.1600037,80.57336426,101.4067383,124.9599991,59.17353439,52.27466965,10.98999977,143.9723663,55.26399994,136.7100067,169.2580414,211.2751312,28.60512352,311.6600037,1907.079712,25.95771599,34.03721619,43.15999985,64.96565247,334.1700134,31.00265884,145.0445251,9.072500229,28.03026009,29.57500076,15.44053841,138.3741608,69.31170654,91.25,11.24250031,117.2957306,22.99664116,87.53236389,19.67795563,7.881999969,58.37167358,120.9141388,166.1699982,205.1900024,38.35969543,144.2411804,125.1200027,11.97982979,57.49094391,97.17507172,131.1130524,188.8131714,61.50999832,113.4620514,42.6992836,30.47999954,35.82452774,240.1970062,179.8691559,28.96500015,17.61575317,77.11278534,43.51810455,196.4299927,51.12023544,107.3078842,38.45347214,21.31999969,210.9499969,49.06666565,53.07730484,36.62833405,91.27902222,72.55999756,42.61235428,402.6199951,248.7926178,59.59921646,47.96900558,4.85027647,86.51999664,59.27406693,22.10199928,110.6500015,81.39743042,82.1926651,146.2299957,50.7314949,18.87999916,110.9899979,40.81873322
11/1/2017,39.26197052,176.25,80.29976654,100.6566086,124.7799988,58.85544586,51.60769653,10.80000019,144.136673,55.18399811,135.6000061,169.8667145,207.5765991,28.65487099,315.730011,1908.177002,26.30459213,33.65402603,43.00999832,63.96332932,338.2200012,31.04569435,146.4942322,8.960000038,28.41603851,29.51300049,15.35480976,136.5915985,67.36066437,91.12000275,11.21500015,112.2645798,22.96231842,89.67249298,19.59835052,7.754000187,58.27045822,121.5599365,159.2400055,207.7400055,39.3884697,144.5658417,125.3466644,12.01199436,57.7660141,93.83743286,132.7281189,183.698349,61.49000168,114.1077957,41.88403702,29.79999924,35.68616867,238.907608,182.4664001,28.89999962,17.44407845,77.11278534,43.58685303,198,51.2166481,107.537056,38.08522415,21.17000008,207.5599976,47.99666595,53.36852264,36.24536896,91.19621277,72.37999725,44.65902328,397,248.831131,59.58982468,48.22266388,4.85027647,86.12000275,59.2542305,21.40533257,110.5599976,81.11118317,86.86040497,142.6300049,51.29798126,19.15999985,110.2699966,40.57968521
